,QLD_QQQ_SMA200,QQQ_BH,SPY_BH
2024-07-26,15003.970533596685,8267.977984300265,5501.499948277638
2024-07-29,15049.595118190591,8284.579987368026,5504.706734250534
2024-07-30,14632.456059046288,8170.711901109794,5476.776662873686
2024-07-31,15502.58206523011,8412.52368492284,5565.842557153193
2024-08-01,14753.035318330189,8208.788234232594,5487.017689045198
2024-08-02,14039.336459325481,8013.895154741482,5384.814316747691
2024-08-05,13227.870633333829,7774.9706758097855,5227.992138202124
2024-08-06,13455.993556303369,7849.318776504542,5276.19737250439
2024-08-07,13156.1748575434,7764.323739059807,5240.922726802517
2024-08-08,13964.38178463549,8001.8045655508295,5362.056480811
2024-08-09,14107.773336216344,8043.670486330402,5385.74531912692
2024-08-12,14156.656819709817,8060.994315618501,5388.538326264605
2024-08-13,14857.320083116265,8260.940178651974,5477.190441708899
2024-08-14,14867.096779814958,8263.64702697824,5494.465708079025
2024-08-15,15610.125728915747,8472.435261210849,5588.703837798689
2024-08-16,15639.455819011831,8483.262654515911,5601.2206475638695
2024-08-19,16050.077080357003,8594.784805558045,5654.701562015096
2024-08-20,15978.381304566577,8576.73915004961,5645.4949829316165
2024-08-21,16131.549552846127,8616.620048723255,5664.942588186608
2024-08-22,15606.866830016184,8480.014436524392,5620.461363401256
2024-08-23,15942.53341667137,8572.047279617418,5680.2524050894735
2024-08-26,15629.67912231314,8488.856807723527,5666.701148236261
2024-08-27,15720.928291500957,8514.12072543534,5674.459501396497
2024-08-28,15359.190513649257,8417.576468465202,5641.460639288294
2024-08-29,15310.307030155782,8405.305422719466,5641.977862832309
2024-08-30,15672.044808007482,8505.45881079129,5695.872556118748
2024-09-03,14707.41073373628,8247.225480465566,5578.669701044784
2024-09-04,14629.197160146721,8225.751150410528,5567.187338367635
2024-09-05,14658.527250242805,8233.510782279154,5553.739526223226
2024-09-06,13866.61481764854,8012.812415410979,5460.225509465185
2024-09-09,14215.316999901983,8115.853108364151,5521.361332367842
2024-09-10,14472.770012967609,8190.923035279246,5545.360504810172
2024-09-11,15088.701904985368,8368.85319859243,5602.255094651901
2024-09-12,15398.297300444034,8450.960931155814,5649.529326574937
2024-09-13,15522.1354586275,8488.85680772353,5679.011068583834
2024-09-16,15378.743907046644,8451.321844265984,5687.3900899968885
2024-09-17,15395.03840154447,8455.833258143093,5689.6658735905585
2024-09-18,15251.646849963616,8419.200577460968,5672.804386055646
2024-09-19,16030.523686959623,8631.958855905432,5769.628633495389
2024-09-20,15958.827911169195,8615.537309392756,5759.6979414502875
2024-09-23,16043.559282557879,8638.455291888467,5774.076755973924
2024-09-24,16196.727530837432,8680.140756112956,5790.5244646736255
2024-09-25,16235.834317632207,8688.08084453667,5777.800765490838
2024-09-26,16463.95724060175,8753.406117477209,5800.662046136334
2024-09-27,16271.682205527422,8704.863304159515,5792.28302472328
2024-09-30,16353.154678016544,8728.322656320483,5815.454639495183
2024-10-01,15890.391034278331,8606.694938193621,5763.421950967201
2024-10-02,15942.533416671371,8618.965983939357,5765.801179269673
2024-10-03,15916.462225474852,8612.469547956322,5755.249818971753
2024-10-04,16294.494497824378,8714.96887124424,5807.592841626142
2024-10-07,15929.497821073111,8621.672832265624,5755.042929554146
2024-10-08,16405.297060409583,8750.338356040775,5809.558291093403
2024-10-09,16659.491174575644,8819.272760083002,5849.798282817825
2024-10-10,16623.64328668043,8809.167192998279,5839.557256646313
2024-10-11,16659.491174575644,8823.062347739775,5874.521568221777
2024-10-14,16936.497581038653,8897.049535324364,5922.519913106436
2024-10-15,16483.510633999136,8778.128665523769,5876.487017689037
2024-10-16,16486.769532898703,8779.211404854275,5902.037860763413
2024-10-17,16512.84072409522,8785.346927727142,5902.555084307429
2024-10-18,16714.89245586824,8842.912568799054,5925.31292024412
2024-10-21,16776.811534959976,8859.875484976985,5915.589117616624
2024-10-22,16809.400523955625,8869.439682396456,5912.3823316437265
2024-10-23,16291.23559892481,8733.55589641793,5858.384193648486
2024-10-24,16551.947510890004,8804.475322566084,5871.004448122468
2024-10-25,16744.22254596433,8858.07091942614,5869.038998655209
2024-10-28,16750.74034376346,8859.514571866814,5887.1418226957585
2024-10-29,17066.853537021252,8944.509609311548,5896.6587359056475
2024-10-30,16806.141625056065,8877.018857709996,5878.866245991507
2024-10-31,15958.827911169197,8652.891816295218,5763.628840384804
2024-11-01,16183.69193523917,8716.95389335017,5787.938346953543
2024-11-04,16082.666069352663,8691.509519083274,5775.421537188363
2024-11-05,16493.287330697836,8802.490300460158,5845.35016033929
2024-11-06,17389.484528078177,9041.59523594694,5990.689976207708
2024-11-07,17936.97954320508,9183.79500135342,6036.929761042714
2024-11-08,17959.791835502034,9194.622394658481,6063.10127236991
2024-11-11,17936.97954320508,9189.20869800595,6068.894176062884
2024-11-12,17875.060464113347,9172.60669493819,6050.067239060713
2024-11-13,17822.918081720305,9160.877018857704,6052.9636909072005
2024-11-14,17568.723967554244,9097.175854912924,6014.068480397218
2024-11-15,16718.15135476781,8880.447532256605,5937.0021723388745
2024-11-18,16956.05097443605,8942.163674095458,5961.311678907614
2024-11-19,17184.173897405588,9003.699359379227,5983.138512465078
2024-11-20,17161.361605108636,8998.46611928178,5985.2074066411415
2024-11-21,17285.199763292097,9030.76784264188,6017.275266370116
2024-11-22,17330.82434788601,9045.20436704863,6035.998758663484
2024-11-25,17382.966730279048,9059.640891455381,6056.480811006507
2024-11-26,17565.465068654677,9108.183704773073,6088.031447191465
2024-11-27,17285.199763292097,9036.542452404583,6069.618289024505
2024-11-29,17571.982866453804,9115.943336641703,6107.272163028851
2024-12-02,17956.532936602456,9215.194441938102,6118.237302161985
2024-12-03,18070.59439808723,9243.345664531262,6121.133754008473
2024-12-04,18510.545749528486,9357.755120454747,6159.097962139226
2024-12-05,18406.26098474241,9331.769376522601,6148.960380676518
2024-12-06,18728.891975799335,9415.320761526662,6160.649632771274
2024-12-09,18429.07327703937,9342.05540016241,6128.892107168709
2024-12-10,18292.199523257645,9310.114589912475,6109.85828074893
2024-12-11,18953.75599986931,9476.856446810427,6157.029067963164
2024-12-12,18702.820784602816,9415.681674636828,6125.374987069402
2024-12-13,18979.82719106583,9487.68384011549,6124.133650563765
2024-12-16,19527.32220619273,9624.289452314353,6150.305161890959
2024-12-17,19354.60056451579,9581.88216186953,6124.96120823419
2024-12-18,17956.532936602456,9236.307858882974,5942.38129719664
2024-12-19,17783.81129492552,9195.163764323739,5940.622737146986
2024-12-20,18099.924488183315,9275.466931336283,6011.896141512351
2024-12-23,18438.849973738063,9365.875665433547,6047.8949001758465
2024-12-24,18934.202606471925,9492.736623657855,6115.133960897891
2024-12-26,18901.613617476276,9486.420644229904,6115.547739733103
2024-12-27,18386.707591345024,9360.281512225933,6051.205130857547
2024-12-30,17894.613857510725,9235.766489217722,5982.104065377047
2024-12-31,17588.27736095163,9157.267887756023,5960.380676528387
2025-01-02,17510.063787362073,9139.402688802671,5945.691527878339
2025-01-03,18080.371094785925,9289.00117296761,6020.068273507802
2025-01-06,18490.9923561311,9395.650997022469,6054.722250956855
2025-01-07,17826.176980619868,9228.006857349095,5986.345298437976
2025-01-08,17829.435879519435,9229.630966344856,5995.034653977441
2025-01-10,17259.128572095582,9084.904809167198,5903.486086686658
2025-01-13,17151.58490840994,9055.67084724353,5912.692665770139
2025-01-14,17112.478121615157,9047.189389154566,5920.761353056783
2025-01-15,17884.837160812036,9255.255797166838,6028.55073962966
2025-01-16,17646.937541143798,9190.471893891552,6016.861487534905
2025-01-17,18230.28044416591,9345.48407470902,6077.273197475942
2025-01-21,18425.8143781398,9400.342867454667,6132.926450812032
2025-01-22,18904.87251637584,9520.526933140856,6167.37353884348
2025-01-23,18989.603887764526,9540.738067310303,6201.096513913304
2025-01-24,18764.73986369455,9486.962013895165,6182.993689872755
2025-01-27,17656.714237842494,9210.683028061003,6095.479466225293
2025-01-28,18187.91475847157,9346.747270594615,6147.925933588487
2025-01-29,18112.960083781578,9329.24298475143,6120.306196338047
2025-01-30,18266.128332061126,9368.943426869988,6153.201613737447
2025-01-31,18200.950354069828,9355.40918523866,6120.40964104685
2025-02-03,17910.908352008555,9280.51971487865,6079.238646943199
2025-02-04,18347.600804550246,9394.387801136885,6119.995862211638
2025-02-05,18507.286850628927,9437.156004691878,6144.822592324393
2025-02-06,18696.302986803687,9486.42064422991,6166.235647046644
2025-02-07,18223.76264636678,9366.777948208974,6109.754836040127
2025-02-10,18650.678402209775,9480.104664801955,6151.236164270187
2025-02-11,18562.688131921524,9457.54759541641,6155.89117616633
2025-02-12,18585.500424218477,9463.141748624024,6136.133236784928
2025-02-13,19113.442045947988,9599.205991157634,6200.889624495698
2025-02-14,19260.092496428406,9639.447802941446,6200.579290369287
2025-02-18,19344.823867817093,9661.283046106653,6218.78555911864
2025-02-19,19354.60056451579,9663.989894432918,6233.474707768687
2025-02-20,19181.878922838852,9623.026256428768,6207.510085859098
2025-02-21,18383.448692445458,9423.260849950377,6101.272369918267
2025-02-24,17940.238442104637,9312.09961201841,6073.549187959025
2025-02-25,17483.992596165557,9194.802851213573,6043.343332988507
2025-02-26,17565.465068654677,9216.999007488952,6046.446674252602
2025-02-27,16594.313196584346,8960.931155824239,5949.932760939268
2025-02-28,17109.219222715594,9102.40909501038,6042.722664735688
2025-03-03,16375.966970313499,8903.365514752326,5936.898727630071
2025-03-04,16255.387711029598,8876.477488044755,5866.556325643934
2025-03-05,16682.303466872596,8992.150139853831,5929.657598013851
2025-03-06,15763.293977195302,8744.744202833168,5824.35088445225
2025-03-07,15745.332715572005,8809.167192998286,5857.039412434044
2025-03-10,15747.144815090427,8467.74339077867,5701.044791558901
2025-03-11,15748.956914608847,8447.351800054137,5653.6671149270605
2025-03-12,15750.76901412727,8542.813317693766,5683.666080479973
2025-03-13,15754.393213164114,8389.064332761891,5607.841108927269
2025-03-14,15756.205312682538,8591.897500676716,5723.69918278679
2025-03-17,15759.829511719383,8647.4781196427,5767.870073445733
2025-03-18,15759.829511719383,8500.045114138773,5705.492914037436
2025-03-19,15761.641611237805,8613.913200397008,5767.663184028127
2025-03-20,15765.26581027465,8584.679238473342,5751.008585910822
2025-03-21,15770.702108829919,8613.010917621586,5752.870590669278
2025-03-24,15770.702108829919,8801.948930794917,5855.901520637209
2025-03-25,15772.51420834834,8852.11585310837,5869.970001034437
2025-03-26,15166.911226535689,8689.344040422271,5799.834488465904
2025-03-27,15146.128812163473,8639.718487774073,5784.524671563039
2025-03-28,15151.34741632524,8412.343228367774,5667.942484741895
2025-03-31,15151.34741632524,8411.982315257605,5706.010137581452
2025-04-01,15154.826485766418,8479.833979969326,5722.147512154742
2025-04-02,15156.566020487004,8541.730578363262,5758.353160235843
2025-04-03,15158.305555207595,8084.453667779487,5474.604323988819
2025-04-04,15161.78462464877,7582.243074979703,5154.132616116676
2025-04-07,15163.524159369357,7600.649643598309,5144.926037033197
2025-04-08,15167.003228810532,7463.6831182892765,5064.342608875547
2025-04-09,15167.003228810532,8359.649914283142,5596.151856832514
2025-04-10,15168.742763531123,8003.97004421186,5350.98789696906
2025-04-11,15175.700902413477,8151.403049715784,5446.467363194362
2025-04-14,15175.700902413477,8206.803212126682,5499.224164683967
2025-04-15,15179.179971854655,8215.8260398809,5483.914347781101
2025-04-16,15180.919506575241,7968.05918975007,5361.953036102193
2025-04-17,15187.877645457596,7966.79599386448,5369.607944553626
2025-04-21,15189.617180178184,7769.556979157271,5241.853729181741
2025-04-22,15189.617180178184,7973.472886402602,5378.193855384286
2025-04-23,15193.096249619362,8154.290354597135,5461.57029067962
2025-04-24,15193.096249619362,8383.831092664446,5576.497362159914
2025-04-25,15198.314853781128,8477.307588198146,5616.737353884337
2025-04-28,15200.054388501718,8474.600739871881,5618.909692769202
2025-04-29,15200.054388501718,8530.542271948034,5654.287783179879
2025-04-30,15201.793923222305,8529.459532617528,5656.563566773549
2025-05-01,15205.272992663482,8640.801227104579,5696.700113789168
2025-05-02,15210.491596825246,8769.105837769563,5781.214440881337
2025-05-05,15210.491596825246,8717.134349905265,5748.11213406433
2025-05-06,15213.970666266423,8635.928900117302,5700.010344470868
2025-05-07,15213.970666266423,8669.854732473163,5724.009516913198
2025-05-08,15217.449735707602,8759.361183795007,5763.835729802409
2025-05-09,15222.66833986937,8753.767030587393,5756.491155477385
2025-05-12,15222.66833986937,9110.349183434097,5946.725974966368
2025-05-13,15656.205082342365,9249.12027429397,5986.034964311561
2025-05-14,15843.922103248424,9304.52043670487,5993.689872762994
